CityId,name,addr,RestaurantId,RestaurantStatus,avgrating,TotalPictures,TotalSaves,TotalReviews,TotalFavourites,TotalViews,TotalCheckIns,CreatedOn,Latitude,Longitude,ResUrlReviews
217,Jang Doc Dae - Nhà Hàng Hàn Quốc,"Hưng Gia 3, Quận 7, TP. HCM",679986,2,7.2,3,15,1,0,0,0,02/01/1970,10.7324608,106.7094281,/ho-chi-minh/jang-doc-dae-nha-hang-han-quoc/binh-luan
217,Seonlo 95 - Tokbokki & Odeng,"98 Đỗ Tấn Phong, P. 9, Quận Phú Nhuận, TP. HCM",675896,2,6.8,2,9,1,0,0,0,02/01/1970,10.8022717196761,106.6775692999363,/ho-chi-minh/seonlo-95-tokbokki-odeng/binh-luan
217,Nước Mía Hai Lúa,"221 Vĩnh Viễn, P. 4, Quận 10, TP. HCM",883115,2,7.0,2,0,1,0,0,0,02/01/1970,10.764009,106.66917,/ho-chi-minh/nuoc-mia-hai-lua/binh-luan
217,Giáng My - Bánh Đa Cua Hải Phòng,"1 Hoàng Kế Viên, P. 12, Quận Tân Bình, TP. HCM",652778,2,4.7,6,10,2,0,0,0,02/01/1970,10.7977834,106.6498217,/ho-chi-minh/giang-my-banh-da-cua-hai-phong/binh-luan
217,HD Media Cafe - Tô Vĩnh Diện,"70A Tô Vĩnh Diện, Tp. Thủ Đức, TP. HCM",212799,2,5.4,7,28,2,0,0,0,02/01/1970,10.8523499,106.7668969,/ho-chi-minh/hd-media-cafe-to-vinh-dien/binh-luan
217,Bún Mọc Ròm Mập - Võ Văn Tần,"457 Võ Văn Tần, P. 5, Quận 3, TP. HCM",69760,2,6.916,323,1010,124,0,0,0,02/01/1970,10.769463,106.683691,/ho-chi-minh/bun-moc-rom-map-vo-van-tan/binh-luan
217,Cháo Ếch Geylang - Trường Sa,"688 Trường Sa, P. 17, Quận Phú Nhuận, TP. HCM",995070,2,5.72,6,9,5,0,0,0,02/01/1970,10.7923941,106.6825202,/ho-chi-minh/chao-ech-geylang-truong-sa/binh-luan
217,TocoToco Bubble Tea D2 - Nguyễn Gia Trí,"128 Nguyễn Gia Trí, P. 25, Quận Bình Thạnh, TP. HCM",658426,2,6.992,424,217,217,0,0,0,02/01/1970,10.8052294,106.7160372,/ho-chi-minh/tocotoco-bubble-tea-d2-nguyen-gia-tri/binh-luan
217,Phở Gia Nguyễn,"207 Dương Quảng Hàm, Quận Gò Vấp, TP. HCM",745303,2,8.4,8,2,1,0,0,0,02/01/1970,10.835155,106.6840224,/ho-chi-minh/pho-gia-nguyen/binh-luan
217,Clover Korean House Food - Phan Liêm,"2 Phan Liêm, P. Đakao, Quận 1, TP. HCM",1074507,2,8.0,0,18,1,0,0,0,02/01/1970,10.7890822,106.6957634,/ho-chi-minh/clover-korean-house-food-phan-liem/binh-luan
217,Mì Quảng Mỹ Sơn - Đường 22,"3 Đường 22, P. An Phú, Quận 2, TP. HCM",1043657,2,6.934,4,2,3,0,0,0,02/01/1970,10.7978768,106.7418461,/ho-chi-minh/mi-quang-my-son-duong-22/binh-luan
217,Cơm Tấm Vỉa Hè - Đinh Tiên Hoàng,"116 Đinh Tiên Hoàng, P. 1, Quận Bình Thạnh, TP. HCM",657582,2,7.8,16,13,3,0,0,0,02/01/1970,10.799547,106.69658,/ho-chi-minh/com-tam-via-he-dinh-tien-hoang/binh-luan
217,Hủ Tiếu Mì Hồng Phát,"58 Phan Văn Trị, Quận Bình Thạnh, TP. HCM",28120,2,7.2,77,232,14,0,0,0,02/01/1970,10.807424,106.697491,/ho-chi-minh/hu-tiu-mi-hong-phat/binh-luan
217,Mai Tu - Chân Gà Xả Tắc,"28/30/6 Thạnh Lộc 31, P. Thạnh Lộc, Quận 12, TP. HCM",951249,2,7.0,4,0,1,0,0,0,02/01/1970,10.874318,106.691199,/ho-chi-minh/mai-tu-chan-ga-xa-tac/binh-luan
217,Bà Sáu - Bánh Mì Phá Lấu - Hoàng Diệu,"104 Hoàng Diệu, P. 12, Quận 4, TP. HCM",699404,2,5.526,43,381,16,0,0,0,02/01/1970,10.7641817,106.7046019,/ho-chi-minh/ba-sau-banh-mi-pha-lau-hoang-dieu/binh-luan
217,FOX Tea - Trà Sữa & Ăn Vặt -  Đường Số 8,"202 Đường Số 8, P. 11, Quận Gò Vấp, TP. HCM",743484,2,5.476,154,129,72,0,0,0,02/01/1970,10.8439409,106.6619843,/ho-chi-minh/fox-tea-tra-sua-an-vat-duong-so-8/binh-luan
217,Bánh Mì Cắt Lát,"68A Trần Quốc Toản, P. 8, Quận 3, TP. HCM",1030091,2,5.2,1,0,1,0,0,0,02/01/1970,10.787936,106.688483,/ho-chi-minh/banh-mi-cat-lat/binh-luan
217,0610 CORNER - Trà Sữa - Bình Quới,"140/15A Bình Quới, P. 27, Quận Bình Thạnh, TP. HCM",1000038873,2,10.0,0,1,2,0,0,0,02/01/1970,10.8174937,106.7235923,/ho-chi-minh/0610-corner-tra-sua-binh-quoi/binh-luan
217,Trà Sữa Thái Couple TH - Lạc Long Quân,"393 Lạc Long Quân, P. 5, Quận 11, TP. HCM",144960,2,8.232,20,17,6,0,0,0,02/01/1970,10.771659,106.645549,/ho-chi-minh/tra-sua-thai-couple-th-lac-long-quan/binh-luan
217,Trà Sữa Panda Thái Lan - Minh Phụng,"456 Minh Phụng, P. 9, Quận 11, TP. HCM",168209,2,7.9,20,14,2,0,0,0,02/01/1970,10.7612607,106.6443937,/ho-chi-minh/tra-sua-panda-thai-lan-minh-phung/binh-luan
217,Nhà Hàng Bê Vàng - Hải Sản & Bê Thui Nóng,"110A - 112  Vành Đai Trong, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",8849,2,5.334,65,12,9,0,0,0,02/01/1970,10.745646,106.615287,/ho-chi-minh/be-vang/binh-luan
217,Bánh Ướt & Bún Mọc 43,"43 Trần Quốc Toản, Quận 3, TP. HCM",663351,2,6.152,24,71,12,0,0,0,02/01/1970,10.7883033107052,106.6889036446809,/ho-chi-minh/banh-uot-bun-moc/binh-luan
217,Cơm Gà Bàu Sen,"192/30C Nguyễn Trãi, P. 3, Quận 5, TP. HCM",779420,2,7.878,96,172,31,0,0,0,02/01/1970,10.757038,106.677326,/ho-chi-minh/com-ga-bau-sen/binh-luan
217,Vechai Bistro - Food & Drink,"210/22B Cách Mạng Tháng 8, P. 10, Quận 3, TP. HCM",710954,2,8.178,36,112,8,0,0,0,02/01/1970,10.780676,106.678519,/ho-chi-minh/vechai-bistro-food-drink/binh-luan
217,Bún Chả Hà Nội - Phạm Văn Hai,"2 Phạm Văn Hai, P. 2, Quận Tân Bình, TP. HCM",299607,2,6.4,0,4,2,0,0,0,02/01/1970,10.799922,106.6651119000001,/ho-chi-minh/bun-cha-ha-noi-pham-van-hai/binh-luan
217,"Cô Huyền - Trà Sữa, Mì Trộn & Ăn Vặt","1225/94/16 Phạm Thế Hiển, P.5, Quận 8, TP. HCM",1025818,2,8.0,1,6,1,0,0,0,02/01/1970,10.7398726,106.6593993,/ho-chi-minh/co-huyen-tra-sua-mi-tron-an-vat/binh-luan
217,Hủ Tiếu Mì Thành Ký - Nguyễn Hồng Đào,"199 Nguyễn Hồng Đào, P. 14, Quận Tân Bình, TP. HCM",14298,2,6.95,58,43,4,0,0,0,02/01/1970,10.792296,106.641777,/ho-chi-minh/thanh-ky-nguyen-hong-dao/binh-luan
217,The Coffee Factory - Nguyễn Du,"53H Nguyễn Du, P. Bến Nghé, Quận 1, TP. HCM",85489,2,7.14,241,230,32,0,0,0,02/01/1970,10.779825,106.700891,/ho-chi-minh/the-coffee-factory-nguyen-du/binh-luan
217,Bún Bò Chú Gấu,"25 Nguyễn Văn Lượng, P. 17, Quận Gò Vấp, TP. HCM",31125,2,7.434,12,22,6,0,0,0,02/01/1970,10.838543,106.679263,/ho-chi-minh/bun-bo-chu-gau/binh-luan
217,Cơm Tấm 68 - Trần Quang Khải,"68 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",1005514,2,8.0,0,43,1,0,0,0,02/01/1970,10.792331,106.693512,/ho-chi-minh/com-tam-68-tran-quang-khai/binh-luan
217,C1 Cafe 1983,"1 Lô C Nguyễn Văn Quỳ, P. Phú Thuận, Quận 7, TP. HCM",1018042,2,9.9,43,0,2,0,0,0,02/01/1970,10.74278,106.740887,/ho-chi-minh/c1-cafe-1983/binh-luan
217,Propaganda Saigon Bistro,"21 Hàn Thuyên, P. Bến Nghé, Quận 1, TP. HCM",69473,2,7.798,291,942,30,0,0,0,02/01/1970,10.778962,106.69794,/ho-chi-minh/propaganda-saigon/binh-luan
217,Mì Cay Ớt Ma,"268 Tô Hiến Thành, P. 14, Quận 10, TP. HCM",237286,2,7.038,403,368,86,0,0,0,02/01/1970,10.778031,106.665672,/ho-chi-minh/mi-cay-ot-ma/binh-luan
217,Athena Buffet & Rooftop Coffee - Athena Hotel,"280 Tô Hiến Thành, P. 15, Quận 10, TP. HCM",212956,2,8.066,81,49,3,0,0,0,02/01/1970,10.777445,106.664892,/ho-chi-minh/athena-buffet-rooftop-coffee-athena-hotel/binh-luan
217,Cột Điện Bistro - Quán Nhậu,"1 Đồng Nai, P. 15, Quận 10, TP. HCM",32684,2,6.738,224,163,33,0,0,0,02/01/1970,10.7780506,106.6634176,/ho-chi-minh/cot-dien-bistro-hai-san-tuoi-song/binh-luan
217,Unique House - Nhà Hàng & Liên Hoan,"58 Đồng Nai, P. 15, Quận 10, TP. HCM",763601,2,8.6,3,22,2,0,0,0,02/01/1970,10.7781294462255,106.6635622545903,/ho-chi-minh/unique-house-nha-hang-lien-hoan/binh-luan
217,Quán Mạ Ơi - Món Huế,"59 Thạch Thị Thanh, P. Tân Định, Quận 1, TP. HCM",7520,2,7.192,98,476,41,0,0,0,02/01/1970,10.790523,106.692025,/ho-chi-minh/quan-ma-oi/binh-luan
217,Isushi Buffet Nhật Bản - Lê Quý Đôn,"13 Lê Quý Đôn, P. 6, Quận 3, TP. HCM",764990,2,8.358,663,373,180,0,0,0,02/01/1970,10.7801442,106.6920089,/ho-chi-minh/isushi-buffet-nhat-ban-le-quy-don/binh-luan
217,Phở Đêm Ông Già,"202/71 Phạm Văn Hai, P. 5, Quận Tân Bình, TP. HCM",1046511,2,6.2,3,1,1,0,0,0,02/01/1970,10.791809,106.660164,/ho-chi-minh/pho-dem-ong-gia/binh-luan
217,Cơm Tấm Tiên - Cách Mạng Tháng 8,"388A Cách Mạng Tháng 8, Quận 3, TP. HCM",143929,2,4.734,43,28,3,0,0,0,02/01/1970,10.7831426768371,106.672037243843,/ho-chi-minh/com-tam-tien-cach-mang-thang-8/binh-luan
217,Bánh Cuốn & Bánh Ướt - Hậu Giang,"214 Hậu Giang , Quận 6, TP. HCM",787441,2,3.8,5,1,1,0,0,0,02/01/1970,10.7486664,106.6369144,/ho-chi-minh/banh-cuon-banh-uot-hau-giang/binh-luan
217,ZumWhere Phú Nhuận,"117B Nguyễn Đình Chính, P. 15, Quận Phú Nhuận, TP. HCM",893875,2,8.162,352,270,22,0,0,0,02/01/1970,10.795317,106.678245,/ho-chi-minh/zumwhere-craft-beer-nguyen-dinh-chinh/binh-luan
217,Mộc Food - Gà Ủ Muối & Ăn Vặt,"203 Đường 11, P. Phước Bình, Tp. Thủ Đức, TP. HCM",920763,2,6.55,13,4,4,0,0,0,02/01/1970,10.8136456495517,106.7689560201573,/ho-chi-minh/moc-food-ga-u-muoi-an-vat/binh-luan
217,Bánh Trung Thu Hong Kong - Shop Online,"133/36/60 Quang Trung, P. 10, Quận Gò Vấp, TP. HCM",268343,2,5.0,4,1,1,0,0,0,02/01/1970,10.827793,106.673881,/ho-chi-minh/banh-trung-thu-hong-kong-shop-online/binh-luan
217,SaSin - Mì Cay 7 Cấp Độ Hàn Quốc - D2,"11 Đường D2, P. 25, Quận Bình Thạnh, TP. HCM",233099,2,5.916,752,319,263,0,0,0,02/01/1970,10.803213,106.715894,/ho-chi-minh/sasin-mi-cay-7-cap-do-han-quoc-d2/binh-luan
217,Meat & Meet Korean BBQ Container - Lê Thị Riêng,"8 Lê Thị Riêng, P. Bến Thành, Quận 1, TP. HCM",627785,2,7.474,4053,3637,361,0,0,0,02/01/1970,10.771351,106.692265,/ho-chi-minh/meat-meet-bbq-container/binh-luan
217,Sẹt Ky Quán - Đường Số 19,"67 Đường Số 19, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",143956,2,7.7,60,9,2,0,0,0,02/01/1970,10.753283104819,106.6161480545997,/ho-chi-minh/set-ky-quan-duong-so-19/binh-luan
217,An An Quán - Chuyên Lẩu Nướng,"490 Vĩnh Khánh, P. 10, Quận 4, TP. HCM",120791,2,6.614,45,218,14,0,0,0,02/01/1970,10.7609484,106.7056147,/ho-chi-minh/an-an-quan-chuyen-lau-nuong/binh-luan
217,Amor Coffee,"368/29 Lê Hồng Phong, Phường 1, Quận 10, TP. HCM",723830,2,8.44,121,98,21,0,0,0,02/01/1970,10.763698,106.676243,/ho-chi-minh/amor-coffee/binh-luan
217,Vịt Lộn - Nguyễn Oanh,"Ngã 3 Nguyễn Oanh - Nguyễn Văn Lượng, Quận Gò Vấp, TP. HCM",130239,2,6.864,66,307,16,0,0,0,02/01/1970,10.83868,106.675567,/ho-chi-minh/vit-lon-nguyen-oanh/binh-luan
217,Bánh Mì Thị Hồng Sơn,"438/44 Lê Hồng Phong, Quận 10, TP. HCM",714587,2,8.8,7,3,1,0,0,0,02/01/1970,10.7656389,106.6758875,/ho-chi-minh/banh-mi-thi-hong-son/binh-luan
