,request_id,dish_type_id,dish_id,dish_name,dish_description,dish_price_value,dish_total_like,dish_is_available,dish_type_name,option_id,option_min_select,option_max_select,item_id,item_name,item_price
64,1031704,1254438,11451382,Soda đào,,20000.0,2,True,Trà - Thức uống giải khát,,,,,,
65,1031704,1254438,38173254,Trà Dâu Dứa,"Ly 500ml, có topping dâu, dứa",26000.0,2,True,Trà - Thức uống giải khát,,,,,,
66,725868,229326,2012000,SINH TỐ BƠ,,25000.0,10+,True,SINH TỐ BƠ,,,,,,
67,725868,229326,15436651,SINH TỐ BƠ + CHUỐI,,25000.0,7,True,SINH TỐ BƠ,,,,,,
68,725868,229326,25128276,SINH TỐ BƠ +DỪA,,25000.0,6,True,SINH TỐ BƠ,,,,,,
69,725868,229326,25128299,SINH TỐ BƠ +DÂU,,25000.0,4,True,SINH TỐ BƠ,,,,,,
70,725868,229326,25128282,SINH TỐ BƠ +PHOMAI,,30000.0,6,True,SINH TỐ BƠ,,,,,,
71,725868,229326,12053119,SINH TỐ BƠ +ĐẬU PHỘNG,Bơ xay chung với đậu phộng,30000.0,3,True,SINH TỐ BƠ,,,,,,
72,725868,229326,47116695,SINH TỐ BƠ +CAFE,,30000.0,3,True,SINH TỐ BƠ,,,,,,
73,725868,229326,28442261,SINH TỐ BƠ +SÂM DỨA,,25000.0,3,True,SINH TỐ BƠ,,,,,,
74,725868,229326,47116700,SINH TỐ BƠ +ĐẬU PHỘNG LY LỚN,,60000.0,0,True,SINH TỐ BƠ,,,,,,
75,725868,229372,12581702,RAU MÁ ĐẬU XANH LY LỚN,,20000.0,10+,True,RAU MÁ ,,,,,,
76,725868,229372,12581699,RAU MÁ LY LỚN,,16000.0,10+,True,RAU MÁ ,,,,,,
77,725868,229372,14283261,RAU MÁ SỮA LY LỚN,,20000.0,2,True,RAU MÁ ,,,,,,
78,725868,1582679,14277606,"Mã số 2/ giảm mụn, sáng da",Táo- bó xôi- thơm- lee,37000.0,8,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
79,725868,1582679,14278539,"Mã số 10/ giảm độc, lợi tiểu",Cam- táo- dưa hấu- chanh,37000.0,5,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
80,725868,1582679,14277638,"Mã số 3/ giảm cân, cân bằng huyết áp",Thơm- táo- carot- củ dền- cần tây,37000.0,3,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
81,725868,1582679,16057452,Cần Tây + Táo ly lớn,,37000.0,7,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
82,725868,1582679,14278180,"Mã số 4/ giảm cân, cân bằng huyết áp",Cần tây- thơm- cam- dưa leo- bó xôi,37000.0,5,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
83,725868,1582679,14278430,"Mã số 8/ tăng sức đề kháng, chống cảm cúm",Ổi- lê- thơm- dưa leo,37000.0,1,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
